Herb_id,Herb_Chinese,Herb_Pinyin,Herb_Latin,Herb_English,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Class_Chinese,Class_English,TCMSP_id,Mol_id,Molecule_name,Molecule_formula,Molecule_weight,PubChem_CID,CAS_id,OB_score,Type,Link_ingredient_id,Herb_Aliases,Molecule_Aliases
7,巴戟天,Bajitian,Morindae Officinalis Radix,Morindae Officilis Radix,"甘,辛,微温","Sweet,Pungent,Slightly Warm","肾,肝","Kidney,Liver",补阳药,Yang Reinforcing Drugs,7.0,2498.0,Beta-Caryophyllene,C15H24,204.39,5281515,8007-38-3,29.70229451,,7.0,巴戟天,"Caryophyllene; Cis-caryophyllene; 13877-93-5; (4Z)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene; Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-"
7,巴戟天,Bajitian,Morindae Officinalis Radix,Morindae Officilis Radix,"甘,辛,微温","Sweet,Pungent,Slightly Warm","肾,肝","Kidney,Liver",补阳药,Yang Reinforcing Drugs,7.0,2500.0,Beta-Caryophyllene,C15H24,204.39,5281515,8007-38-3,29.70229451,,7.0,巴戟天,"Caryophyllene; Cis-caryophyllene; 13877-93-5; (4Z)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene; Bicyclo(7.2.0)undec-4-ene, 4,11,11-trimethyl-8-methylene-"
8,菝葜,Baqia,Smilacis Chinae Rhizoma,Smilax Chi,"甘,微苦,涩,平","Sweet,Slightly Bitter,Astringent,Calm","肝,肾","Liver,Kidney",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,8.0,2682.0,Atractylone,C15H20O,216.35,3080635,6989-21-5,41.10077395,,8.0,菝葜,"Atractylon; 6989-21-5; Atractylone; (4aS,8aR)-3,8a-Dimethyl-5-methylene-4,4a,5,6,7,8,8a,9-octahydronaphtho[2,3-b]furan; CHEMBL486189"
12,白花菜子,Baihuacaizi,,Semen Cleomis,"苦,辛,微毒","Bitter,Pungent,Slightly Toxic",,,祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,12.0,2655.0,Daucosterol,C35H60O6,576.95,5742590,474-58-8,20.63193686,,12.0,白花菜子,
14,白及,Baiji,Bletillae Rhizoma,Bletilla Striata (Thunb.Ex A.Murray)Rchb.F.,"苦,甘,涩,微寒","Bitter,Sweet,Astringent,Slightly Cold","肺,肝,胃","Lung,Liver,Stomach",收敛止血药,Astringent Hemostatic Medicinal,14.0,2489.0,Protocatechuic Acid,C7H5O4|C7H6O4,154.12|154.13,72,99-50-3,25.36646796,,14.0,白及,"3,4-dihydroxybenzoate; 1ykp; Protocatechuic acid polymer; Catechol-4-carboxylic Acid; 3, 4-Dihydroxybenzoic acid"
15,白蔹,Bailian,"Radix Ampelopsis,Ampelopsis Radix",root of Japanese Ampelopsis ,"苦,微寒","Bitter,Slightly Cold","心,胃","Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,15.0,2616.0,Vanillic Acid,C10H10O3|C8H8O4,168.149|168.16,846|8468,121-34-6,35.47235319,,15.0,白蔹,Vanillate; 4-Hydroxy-3-methoxybenzoate; 6746-48-1; AC1L2LVA; VA
16,白毛藤,Baimaoteng,,Herba Solani Lyrati,"甘,苦,寒,小毒","Sweet,Bitter,Cold,Slightly Toxic","肝,胆,肾","Liver,Gallbladder,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,16.0,2648.0,"1,8-Cineole",C10H18O,154.28,2758,470-82-6,39.72921646,,16.0,白毛藤,"Eucalyptol; cineole; 1,8-Cineole; 1,8-Cineol; Cajeputol"
16,白毛藤,Baimaoteng,,Herba Solani Lyrati,"甘,苦,寒,小毒","Sweet,Bitter,Cold,Slightly Toxic","肝,胆,肾","Liver,Gallbladder,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,16.0,2673.0,"1,8-Cineole",C10H18O,154.28,2758,470-82-6,39.72921646,,16.0,白毛藤,"Eucalyptol; cineole; 1,8-Cineole; 1,8-Cineol; Cajeputol"
21,白芍,Baishao,"Radix Paeoniae Alba,Paeoniae Radix Alba",White peony root,"苦,酸,微寒","Bitter,Sour,Slightly Cold","肝,脾","Liver,Spleen",补血药,Blood-Tonifying Medicinal,21.0,2633.0,Caffeic Acid,C9H8O4,180.15|180.17,689043,331-39-5,25.76439804,,21.0,白芍,"AC1NO658; 3-(3,4-dihydroxyphenyl)prop-2-enoate"
24,白薇,Baiwei,"Cynanchi Atrati Radix Et Rhizoma,Radix Cynchi Atrati",Blackend Swallowwort Root,"苦,咸,寒","Bitter,Salty,Cold","胃,肝,肾","Stomach,Liver,Kidney",清虚热药,Asthenic Heat Dispelling Drugs,24.0,2578.0,Oleanolic Acid,C30H48O3,456.71|456.78,10494,508-02-1,29.02084142,,24.0,白薇,Oleanolic Acid (Caryophyllin); SCHEMBL1699365; MolPort-016-633-333; s2334; AKOS022168208
27,白芷,Baizhi,"Radix Angelicae Dahuricae,Angelicae Dahuricae Radix",Dahurian Angelica Root,"辛,温","Pungent,Warm","胃,大肠,肺","Stomach,Large Intestine,Lung",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,27.0,2595.0,Caprylic Acid,C8H16O2,144.24,379,68937-74-6,16.39796669,,27.0,白芷,"SODIUM OCTANOATE; Sodium caprylate; 1984-06-01 00:00:00; Octanoic acid, sodium salt; Sodium n-octanoate"
28,百部,Baibu,"Radix Stemoe,Stemonae Radix",Root of Japanese Stemo,"甘,苦,微温","Sweet,Bitter,Slightly Warm",肺,Lung,止咳平喘药,Antitussive Antiasthmetics,28.0,2666.0,Lauric Acid,C12H24O2,200.32|200.36,3893,143-07-7,23.58793922,,28.0,百部,
31,败酱草,Baijiangcao,Herba Patriniae,All - grass of Dahurian Patrinia,"苦,辛,凉","Bitter,Pungent,Cool","大肠,胃,肝","Large Intestine,Stomach,Liver",清热解毒药,Antipyretic Detoxicate Drugs,31.0,2611.0,Succinic Acid,C4H6O4,118.09|118.1,1110,110-15-6,29.62033732,,31.0,败酱草,
32,斑蝥,Banmao,Mylabris,Mylabris,"辛,热,有大毒","Pungent,Hot,Extremely Poisonous","肝,胃,肾","Liver,Stomach,Kidney",活血祛瘀药,Blood Activating Stasis Removing Drugs,32.0,2622.0,Isorhamnetin,C16H12O7,316.28,5281654,480-19-3,49.60437705,,32.0,斑蝥,
