community,core_index,core_combo,core_herbs_count,core_matched_count,core_matched_rate,core_matched_names,core_unmatched_names,core_herb_ids,top_substitutes,sub_herbs_count,sub_matched_count,sub_matched_rate,sub_matched_names,sub_unmatched_names,sub_herb_ids
0,1,五味子、山藥、牛膝、肉蓯蓉,4,2,0.5,"五味子, 牛膝","山藥, 肉蓯蓉","41, 304",柏子仁、天門冬、熟地黃、杜仲、澤瀉、熟地黄、肉桂、山茱萸、當歸、酸棗仁、紫石英、丹參,12,6,0.5,"柏子仁, 杜仲, 熟地黄, 肉桂, 山茱萸, 紫石英","天門冬, 熟地黃, 澤瀉, 當歸, 酸棗仁, 丹參","30, 114, 377, 340, 361, 665"
0,2,丹參、天門冬、山藥,3,0,0.0,,"丹參, 天門冬, 山藥",,柏子仁、五味子、熟地黃、澤瀉、杜仲、熟地黄、當歸、酸棗仁、紫石英、肉桂、肉蓯蓉、山茱萸,12,7,0.5833333333333334,"柏子仁, 五味子, 杜仲, 熟地黄, 紫石英, 肉桂, 山茱萸","熟地黃, 澤瀉, 當歸, 酸棗仁, 肉蓯蓉","30, 41, 114, 377, 665, 340, 361"
0,3,五味子、天門冬、山藥、杜仲,4,2,0.5,"五味子, 杜仲","天門冬, 山藥","41, 114",柏子仁、熟地黃、澤瀉、熟地黄、肉桂、肉蓯蓉、山茱萸、牛膝、當歸、酸棗仁、紫石英、丹參,12,6,0.5,"柏子仁, 熟地黄, 肉桂, 山茱萸, 牛膝, 紫石英","熟地黃, 澤瀉, 肉蓯蓉, 當歸, 酸棗仁, 丹參","30, 377, 340, 361, 304, 665"
0,4,天門冬、山藥、熟地黄、肉桂,4,2,0.5,"熟地黄, 肉桂","天門冬, 山藥","377, 340",柏子仁、五味子、澤瀉、熟地黃、當歸、秦艽、紫石英、杜仲、白蘞、酸棗仁、肉蓯蓉、山茱萸,12,6,0.5,"柏子仁, 五味子, 秦艽, 紫石英, 杜仲, 山茱萸","澤瀉, 熟地黃, 當歸, 白蘞, 酸棗仁, 肉蓯蓉","30, 41, 324, 665, 114, 361"
0,5,五味子、天門冬、山藥、熟地黄,4,2,0.5,"五味子, 熟地黄","天門冬, 山藥","41, 377",柏子仁、澤瀉、熟地黃、肉桂、杜仲、當歸、秦艽、紫石英、肉蓯蓉、山茱萸、牛膝、白蘞,12,7,0.5833333333333334,"柏子仁, 肉桂, 杜仲, 秦艽, 紫石英, 山茱萸, 牛膝","澤瀉, 熟地黃, 當歸, 肉蓯蓉, 白蘞","30, 340, 114, 324, 665, 361, 304"
2,1,金箔、銀箔、龍齒,3,0,0.0,,"金箔, 銀箔, 龍齒",,牛黃、龍腦、珍珠、沙參、犀角、鐵粉、雄黃、琥珀、鉛霜、龍膽、麝香、虎睛,12,2,0.16666666666666666,"珍珠, 麝香","牛黃, 龍腦, 沙參, 犀角, 鐵粉, 雄黃, 琥珀, 鉛霜, 龍膽, 虎睛","613, 702"
2,2,牛黃、珍珠、琥珀、雄黃、麝香,5,2,0.4,"珍珠, 麝香","牛黃, 琥珀, 雄黃","613, 702",龍腦、犀角、金箔、龍齒、沙參、羚羊角、鐵粉、虎睛、銀箔、硃砂、鉛霜、龍膽,12,1,0.08333333333333333,羚羊角,"龍腦, 犀角, 金箔, 龍齒, 沙參, 鐵粉, 虎睛, 銀箔, 硃砂, 鉛霜, 龍膽",659
2,3,沙參、龍腦、龍齒,3,0,0.0,,"沙參, 龍腦, 龍齒",,牛黃、金箔、麝香、犀角、琥珀、鐵粉、雄黃、珍珠、虎睛、羚羊角、龍膽、銀箔,12,3,0.25,"麝香, 珍珠, 羚羊角","牛黃, 金箔, 犀角, 琥珀, 鐵粉, 雄黃, 虎睛, 龍膽, 銀箔","702, 613, 659"
2,4,金箔、龍腦、龍齒,3,0,0.0,,"金箔, 龍腦, 龍齒",,牛黃、麝香、犀角、琥珀、沙參、鐵粉、雄黃、珍珠、虎睛、羚羊角、龍膽、銀箔,12,3,0.25,"麝香, 珍珠, 羚羊角","牛黃, 犀角, 琥珀, 沙參, 鐵粉, 雄黃, 虎睛, 龍膽, 銀箔","702, 613, 659"
2,5,琥珀、金箔、龍齒,3,0,0.0,,"琥珀, 金箔, 龍齒",,牛黃、龍腦、犀角、珍珠、麝香、鐵粉、雄黃、虎睛、沙參、羚羊角、龍膽、銀箔,12,3,0.25,"珍珠, 麝香, 羚羊角","牛黃, 龍腦, 犀角, 鐵粉, 雄黃, 虎睛, 沙參, 龍膽, 銀箔","613, 702, 659"
