community,core_index,core_combo,core_herbs_count,core_matched_count,core_matched_rate,core_matched_names,core_unmatched_names,core_herb_ids,top_substitutes,sub_herbs_count,sub_matched_count,sub_matched_rate,sub_matched_names,sub_unmatched_names,sub_herb_ids
0,1,五味子、山藥、牛膝、肉蓯蓉,4,4,1.0,"五味子, 山藥, 牛膝, 肉蓯蓉",,"41, 359, 304, 338",柏子仁、天門冬、熟地黃、杜仲、澤瀉、熟地黄、肉桂、山茱萸、當歸、酸棗仁、紫石英、丹參,12,11,0.9166666666666666,"柏子仁, 熟地黃, 杜仲, 澤瀉, 熟地黄, 肉桂, 山茱萸, 當歸, 酸棗仁, 紫石英, 丹參",天門冬,"30, 377, 114, 480, 377, 340, 361, 95, 386, 665, 93"
0,2,丹參、天門冬、山藥,3,2,0.6666666666666666,"丹參, 山藥",天門冬,"93, 359",柏子仁、五味子、熟地黃、澤瀉、杜仲、熟地黄、當歸、酸棗仁、紫石英、肉桂、肉蓯蓉、山茱萸,12,12,1.0,"柏子仁, 五味子, 熟地黃, 澤瀉, 杜仲, 熟地黄, 當歸, 酸棗仁, 紫石英, 肉桂, 肉蓯蓉, 山茱萸",,"30, 41, 377, 480, 114, 377, 95, 386, 665, 340, 338, 361"
0,3,五味子、天門冬、山藥、杜仲,4,3,0.75,"五味子, 山藥, 杜仲",天門冬,"41, 359, 114",柏子仁、熟地黃、澤瀉、熟地黄、肉桂、肉蓯蓉、山茱萸、牛膝、當歸、酸棗仁、紫石英、丹參,12,12,1.0,"柏子仁, 熟地黃, 澤瀉, 熟地黄, 肉桂, 肉蓯蓉, 山茱萸, 牛膝, 當歸, 酸棗仁, 紫石英, 丹參",,"30, 377, 480, 377, 340, 338, 361, 304, 95, 386, 665, 93"
0,4,天門冬、山藥、熟地黄、肉桂,4,3,0.75,"山藥, 熟地黄, 肉桂",天門冬,"359, 377, 340",柏子仁、五味子、澤瀉、熟地黃、當歸、秦艽、紫石英、杜仲、白蘞、酸棗仁、肉蓯蓉、山茱萸,12,12,1.0,"柏子仁, 五味子, 澤瀉, 熟地黃, 當歸, 秦艽, 紫石英, 杜仲, 白蘞, 酸棗仁, 肉蓯蓉, 山茱萸",,"30, 41, 480, 377, 95, 324, 665, 114, 15, 386, 338, 361"
0,5,五味子、天門冬、山藥、熟地黄,4,3,0.75,"五味子, 山藥, 熟地黄",天門冬,"41, 359, 377",柏子仁、澤瀉、熟地黃、肉桂、杜仲、當歸、秦艽、紫石英、肉蓯蓉、山茱萸、牛膝、白蘞,12,12,1.0,"柏子仁, 澤瀉, 熟地黃, 肉桂, 杜仲, 當歸, 秦艽, 紫石英, 肉蓯蓉, 山茱萸, 牛膝, 白蘞",,"30, 480, 377, 340, 114, 95, 324, 665, 338, 361, 304, 15"
2,1,金箔、銀箔、龍齒,3,0,0.0,,"金箔, 銀箔, 龍齒",,牛黃、龍腦、珍珠、沙參、犀角、鐵粉、雄黃、琥珀、鉛霜、龍膽、麝香、虎睛,12,5,0.4166666666666667,"牛黃, 珍珠, 雄黃, 龍膽, 麝香","龍腦, 沙參, 犀角, 鐵粉, 琥珀, 鉛霜, 虎睛","303, 613, 664, 251, 702"
2,2,牛黃、珍珠、琥珀、雄黃、麝香,5,4,0.8,"牛黃, 珍珠, 雄黃, 麝香",琥珀,"303, 613, 664, 702",龍腦、犀角、金箔、龍齒、沙參、羚羊角、鐵粉、虎睛、銀箔、硃砂、鉛霜、龍膽,12,3,0.25,"羚羊角, 硃砂, 龍膽","龍腦, 犀角, 金箔, 龍齒, 沙參, 鐵粉, 虎睛, 銀箔, 鉛霜","659, 564, 251"
2,3,沙參、龍腦、龍齒,3,0,0.0,,"沙參, 龍腦, 龍齒",,牛黃、金箔、麝香、犀角、琥珀、鐵粉、雄黃、珍珠、虎睛、羚羊角、龍膽、銀箔,12,6,0.5,"牛黃, 麝香, 雄黃, 珍珠, 羚羊角, 龍膽","金箔, 犀角, 琥珀, 鐵粉, 虎睛, 銀箔","303, 702, 664, 613, 659, 251"
2,4,金箔、龍腦、龍齒,3,0,0.0,,"金箔, 龍腦, 龍齒",,牛黃、麝香、犀角、琥珀、沙參、鐵粉、雄黃、珍珠、虎睛、羚羊角、龍膽、銀箔,12,6,0.5,"牛黃, 麝香, 雄黃, 珍珠, 羚羊角, 龍膽","犀角, 琥珀, 沙參, 鐵粉, 虎睛, 銀箔","303, 702, 664, 613, 659, 251"
2,5,琥珀、金箔、龍齒,3,0,0.0,,"琥珀, 金箔, 龍齒",,牛黃、龍腦、犀角、珍珠、麝香、鐵粉、雄黃、虎睛、沙參、羚羊角、龍膽、銀箔,12,6,0.5,"牛黃, 珍珠, 麝香, 雄黃, 羚羊角, 龍膽","龍腦, 犀角, 鐵粉, 虎睛, 沙參, 銀箔","303, 613, 702, 664, 659, 251"
3,1,升麻、天竺黃、玄參、羌活,4,4,1.0,"升麻, 天竺黃, 玄參, 羌活",,"366, 398, 445, 322",黃芩、知母、萎蕤、梔子、大黃、生地黃、芒硝、木通、石膏、赤小豆,10,8,0.8,"黃芩, 知母, 梔子, 大黃, 芒硝, 木通, 石膏, 赤小豆","萎蕤, 生地黃","188, 482, 483, 85, 558, 291, 542, 66"
3,2,天竺黃、玄參、生地黃、羌活,4,3,0.75,"天竺黃, 玄參, 羌活",生地黃,"398, 445, 322",黃芩、升麻、大黃、梔子、石膏、知母、芒硝、萎蕤、赤小豆、木通,10,9,0.9,"黃芩, 升麻, 大黃, 梔子, 石膏, 知母, 芒硝, 赤小豆, 木通",萎蕤,"188, 366, 85, 483, 542, 482, 558, 66, 291"
3,3,升麻、玄參、羌活、黃芩,4,4,1.0,"升麻, 玄參, 羌活, 黃芩",,"366, 445, 322, 188",大黃、梔子、生地黃、知母、萎蕤、天竺黃、石膏、芒硝、木通、赤小豆,10,8,0.8,"大黃, 梔子, 知母, 天竺黃, 石膏, 芒硝, 木通, 赤小豆","生地黃, 萎蕤","85, 483, 482, 398, 542, 558, 291, 66"
3,4,升麻、大黃、知母、黃芩,4,4,1.0,"升麻, 大黃, 知母, 黃芩",,"366, 85, 482, 188",梔子、玄參、萎蕤、生地黃、羌活、芒硝、天竺黃、石膏、木通、赤小豆,10,8,0.8,"梔子, 玄參, 羌活, 芒硝, 天竺黃, 石膏, 木通, 赤小豆","萎蕤, 生地黃","483, 445, 322, 558, 398, 542, 291, 66"
3,5,升麻、大黃、萎蕤、黃芩,4,3,0.75,"升麻, 大黃, 黃芩",萎蕤,"366, 85, 188",梔子、玄參、生地黃、知母、石膏、羌活、芒硝、木通、天竺黃、赤小豆,10,9,0.9,"梔子, 玄參, 知母, 石膏, 羌活, 芒硝, 木通, 天竺黃, 赤小豆",生地黃,"483, 445, 482, 542, 322, 558, 291, 398, 66"
4,1,柴胡、牡丹皮、貝母,3,2,0.6666666666666666,"柴胡, 牡丹皮",貝母,"58, 284",枳殼、桔梗、木香、地骨皮、赤芍、赤茯苓、鱉甲、黃連、紫苑、沉香、赤石脂、葛根,12,11,0.9166666666666666,"枳殼, 桔梗, 木香, 地骨皮, 赤芍, 鱉甲, 黃連, 紫苑, 沉香, 赤石脂, 葛根",赤茯苓,"485, 216, 292, 103, 65, 701, 186, 498, 63, 582, 499"
4,2,木香、桔梗、牡丹皮、貝母,4,3,0.75,"木香, 桔梗, 牡丹皮",貝母,"292, 216, 284",柴胡、枳殼、鱉甲、黃連、紫苑、沉香、赤石脂、地骨皮、葛根、赤芍、赤茯苓,11,10,0.9090909090909091,"柴胡, 枳殼, 鱉甲, 黃連, 紫苑, 沉香, 赤石脂, 地骨皮, 葛根, 赤芍",赤茯苓,"58, 485, 701, 186, 498, 63, 582, 103, 499, 65"
4,3,木香、枳殼、桔梗,3,3,1.0,"木香, 枳殼, 桔梗",,"292, 485, 216",牡丹皮、貝母、柴胡、鱉甲、黃連、紫苑、沉香、地骨皮、葛根、赤芍、赤石脂、赤茯苓,12,10,0.8333333333333334,"牡丹皮, 柴胡, 鱉甲, 黃連, 紫苑, 沉香, 地骨皮, 葛根, 赤芍, 赤石脂","貝母, 赤茯苓","284, 58, 701, 186, 498, 63, 103, 499, 65, 582"
5,1,乾薑、厚朴、川芎,3,3,1.0,"乾薑, 厚朴, 川芎",,"136, 171, 77",前胡、大棗、細辛、附子、桂心、杏仁、蜀椒、桑白皮、生薑、乾地黃、茯苓、陳皮,12,8,0.6666666666666666,"前胡, 大棗, 細辛, 附子, 桑白皮, 生薑, 茯苓, 陳皮","桂心, 杏仁, 蜀椒, 乾地黃","319, 90, 425, 131, 348, 367, 129, 64"
5,2,乾薑、厚朴、附子,3,3,1.0,"乾薑, 厚朴, 附子",,"136, 171, 131",川芎、大棗、細辛、前胡、桂心、杏仁、蜀椒、桑白皮、生薑、乾地黃、茯苓、陳皮,12,8,0.6666666666666666,"川芎, 大棗, 細辛, 前胡, 桑白皮, 生薑, 茯苓, 陳皮","桂心, 杏仁, 蜀椒, 乾地黃","77, 90, 425, 319, 348, 367, 129, 64"
5,3,乾薑、川芎、細辛,3,3,1.0,"乾薑, 川芎, 細辛",,"136, 77, 425",前胡、大棗、厚朴、附子、桂心、杏仁、蜀椒、桑白皮、生薑、乾地黃、茯苓、陳皮,12,8,0.6666666666666666,"前胡, 大棗, 厚朴, 附子, 桑白皮, 生薑, 茯苓, 陳皮","桂心, 杏仁, 蜀椒, 乾地黃","319, 90, 171, 131, 348, 367, 129, 64"
5,4,乾薑、前胡、大棗、川芎,4,4,1.0,"乾薑, 前胡, 大棗, 川芎",,"136, 319, 90, 77",厚朴、細辛、附子、桂心、杏仁、蜀椒、桑白皮、半夏、茯苓、生薑、乾地黃、陳皮,12,8,0.6666666666666666,"厚朴, 細辛, 附子, 桑白皮, 半夏, 茯苓, 生薑, 陳皮","桂心, 杏仁, 蜀椒, 乾地黃","171, 425, 131, 348, 35, 129, 367, 64"
5,5,乾薑、細辛、附子,3,3,1.0,"乾薑, 細辛, 附子",,"136, 425, 131",川芎、大棗、厚朴、前胡、桂心、杏仁、蜀椒、桑白皮、生薑、乾地黃、茯苓、陳皮,12,8,0.6666666666666666,"川芎, 大棗, 厚朴, 前胡, 桑白皮, 生薑, 茯苓, 陳皮","桂心, 杏仁, 蜀椒, 乾地黃","77, 90, 171, 319, 348, 367, 129, 64"
