AID,SID,CID,Activity_Outcome,Target_Accession,Target_GeneID,Activity_Value_uM,Activity_Name,Assay_Name,Assay_Type,PubMed_ID,Mol_id,NCBI_Gene_symbol,SymMap_Gene_id,SymMap_Gene_name,SymMap_Protein_name
1612079,103581571,5281515,Active,P34972,1269,0.15,Ki,Displacement of [3H]CP55940 from human CB2 expressed in CHOK1 cell membranes after 2 hrs by liquid scintillation counting method,Confirmatory,30096653.0,2498,CNR2,5658,cannabinoid receptor 2,
1612080,103581571,5281515,Active,P34972,1269,1.9,EC50,Agonist activity at recombinant human Cb2 receptor expressed in CHOK1 cells assessed as inhibition of forskolin-stimulated cAMP levels measured up to 30 mins by luminescence assay,Confirmatory,30096653.0,2498,CNR2,5658,cannabinoid receptor 2,
1938300,103581571,5281515,Active,Q07869,5465,9.58,EC50,Agonist activity at PPARalpha (unknown origin),Confirmatory,33992930.0,2498,PPARA,2679,peroxisome proliferator activated receptor alpha,Peroxisome Proliferator-activated Receptor Alpha
880,26754425,5281515,Inactive,AAC39835,6002,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,2498,RGS12,9899,regulator of G protein signaling 12,
880,26754425,5281515,Inactive,NP_002060,2770,,,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),Confirmatory,,2498,GNAI1,1413,G protein subunit alpha i1,Guanine Nucleotide-binding Protein G(i) Subunit Alpha-1
881,26754425,5281515,Inactive,O15296,247,,Potency,qHTS Assay for Inhibitors of 15-hLO-2 (15-human lipoxygenase 2),Confirmatory,,2498,ALOX15B,4577,"arachidonate 15-lipoxygenase, type B",
884,26754425,5281515,Inactive,NP_059488,1576,,Potency,qHTS Assay for Inhibitors and Substrates of Cytochrome P450 3A4,Confirmatory,,2498,CYP3A4,883,cytochrome P450 family 3 subfamily A member 4,Cytochrome P450 3A4
885,26754425,5281515,Inactive,NP_059488,1576,,Potency,qHTS Assay for Activators of Cytochrome P450 3A4,Confirmatory,,2498,CYP3A4,883,cytochrome P450 family 3 subfamily A member 4,Cytochrome P450 3A4
887,26754425,5281515,Inactive,AAC52118,246,,Potency,qHTS Assay for Inhibitors of 15-hLO (15-human lipoxygenase),Confirmatory,,2498,ALOX15,4576,arachidonate 15-lipoxygenase,
889,26754425,5281515,Inactive,P55210,840,,Potency,qHTS Assay for Allosteric/Competitive Inhibitors of Caspase-7,Confirmatory,,2498,CASP7,481,caspase 7,Caspase-7
1612079,103581571,5281515,Active,P34972,1269,0.15,Ki,Displacement of [3H]CP55940 from human CB2 expressed in CHOK1 cell membranes after 2 hrs by liquid scintillation counting method,Confirmatory,30096653.0,2500,CNR2,5658,cannabinoid receptor 2,
1612080,103581571,5281515,Active,P34972,1269,1.9,EC50,Agonist activity at recombinant human Cb2 receptor expressed in CHOK1 cells assessed as inhibition of forskolin-stimulated cAMP levels measured up to 30 mins by luminescence assay,Confirmatory,30096653.0,2500,CNR2,5658,cannabinoid receptor 2,
1938300,103581571,5281515,Active,Q07869,5465,9.58,EC50,Agonist activity at PPARalpha (unknown origin),Confirmatory,33992930.0,2500,PPARA,2679,peroxisome proliferator activated receptor alpha,Peroxisome Proliferator-activated Receptor Alpha
